generation,generated,best_score,mean_score,pass_count,population_best
1,24,0.8803962828770304,0.8216755398222516,15,0.8822355024152155
2,24,0.8819184539197524,0.8466638066610851,20,0.8822355024152155
3,24,0.8767578693123634,0.8277977693957775,19,0.8822355024152155
4,24,0.8841337964395461,0.8495277495922883,21,0.8841337964395461
